id,area_id,waste_type,rule_type,weekdays,nth_weeks,note,created_at,updated_at
127,26,NON_BURNABLE,NTH_WEEKDAY,THU,"2,4",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
128,26,PLASTIC,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
129,26,CAN_BOTTLE,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
130,26,PAPER,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
131,27,BURNABLE,WEEKDAY,"WED,SAT",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
132,27,NON_BURNABLE,NTH_WEEKDAY,MON,"2,4",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
133,27,PLASTIC,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
134,27,CAN_BOTTLE,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
135,27,PAPER,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
136,28,BURNABLE,WEEKDAY,"WED,SAT",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
137,28,NON_BURNABLE,NTH_WEEKDAY,MON,"2,4",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
138,28,PLASTIC,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
139,28,CAN_BOTTLE,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
140,28,PAPER,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
141,29,BURNABLE,WEEKDAY,"WED,SAT",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
142,29,NON_BURNABLE,NTH_WEEKDAY,MON,"1,3",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
143,29,PLASTIC,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
144,29,CAN_BOTTLE,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
145,29,PAPER,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
146,30,BURNABLE,WEEKDAY,"WED,SAT",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
147,30,NON_BURNABLE,NTH_WEEKDAY,MON,"1,3",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
148,30,PLASTIC,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
149,30,CAN_BOTTLE,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
150,30,PAPER,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
151,31,BURNABLE,WEEKDAY,"WED,SAT",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
152,31,NON_BURNABLE,NTH_WEEKDAY,MON,"1,3",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
153,31,PLASTIC,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
154,31,CAN_BOTTLE,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
155,31,PAPER,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
156,32,BURNABLE,WEEKDAY,"WED,SAT",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
157,32,NON_BURNABLE,NTH_WEEKDAY,MON,"1,3",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
158,32,PLASTIC,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
159,32,CAN_BOTTLE,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
160,32,PAPER,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
161,33,BURNABLE,WEEKDAY,"WED,SAT",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
162,33,NON_BURNABLE,NTH_WEEKDAY,MON,"1,3",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
163,33,PLASTIC,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
164,33,CAN_BOTTLE,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
165,33,PAPER,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
166,34,BURNABLE,WEEKDAY,"WED,SAT",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
167,34,NON_BURNABLE,NTH_WEEKDAY,MON,"1,3",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
168,34,PLASTIC,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
169,34,CAN_BOTTLE,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
170,34,PAPER,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
